user_id,product_id,product_name,category,rating,timestamp
U00399,P0126,Dell Rice,Grocery,4,2025-11-20 15:38:24
U00163,P0127,Sony Shoes,Fashion,3,2025-09-23 15:38:24
U00534,P0061,LG Coffee,Grocery,4,2025-11-26 15:38:24
U00204,P0173,Nike Dumbbell Set,Sports,3,2025-08-24 15:38:24
U00224,P0177,Samsung Coffee,Grocery,2,2025-10-22 15:38:24
U00333,P0164,Apple Remote Car,Toys,5,2025-09-14 15:38:24
U00123,P0191,HP Headphones,Electronics,4,2026-01-31 15:38:24
U00596,P0193,Sony Laptop,Electronics,3,2025-09-11 15:38:24
U00159,P0037,Sony Bed Sheet,Home & Kitchen,3,2026-01-01 15:38:24
U00512,P0053,Apple Novel,Books,5,2025-09-03 15:38:24
U00062,P0102,Apple Face Cream,Beauty,5,2025-08-15 15:38:24
U00550,P0200,Apple Badminton Racket,Sports,2,2025-12-13 15:38:24
U00325,P0075,HP T-Shirt,Fashion,4,2025-11-14 15:38:24
U00825,P0013,LG Skincare Kit,Beauty,4,2026-02-05 15:38:24
U00706,P0132,Apple Cricket Bat,Sports,5,2025-12-08 15:38:24
U00921,P0128,Generic Perfume,Beauty,5,2025-09-20 15:38:24
U00302,P0041,Dell Rice,Grocery,4,2025-09-18 15:38:24
U00192,P0118,Apple Vacuum Cleaner,Home & Kitchen,4,2025-10-14 15:38:24
U00282,P0043,Dell Bed Sheet,Home & Kitchen,4,2025-09-22 15:38:24
U00165,P0012,Dell Action Figure,Toys,3,2025-11-27 15:38:24
U00840,P0114,Dell Cricket Bat,Sports,4,2026-02-10 15:38:24
U00795,P0161,Generic Sunglasses,Fashion,4,2025-12-25 15:38:24
U00905,P0060,LG Sunglasses,Fashion,5,2025-09-05 15:38:24
U00245,P0191,HP Headphones,Electronics,3,2025-09-26 15:38:24
U00839,P0151,LG Headphones,Electronics,5,2025-10-06 15:38:24
U00785,P0089,Dell Skincare Kit,Beauty,5,2025-11-20 15:38:24
U00420,P0145,Generic Doll,Toys,3,2025-09-30 15:38:24
U00675,P0088,Sony T-Shirt,Fashion,5,2026-01-08 15:38:24
U00183,P0132,Apple Cricket Bat,Sports,2,2025-10-09 15:38:24
U00197,P0134,Sony Jeans,Fashion,5,2025-11-03 15:38:24
U00674,P0141,LG Biography,Books,5,2025-09-12 15:38:24
U00263,P0151,LG Headphones,Electronics,4,2026-01-23 15:38:24
U00014,P0142,Puma Rice,Grocery,2,2025-10-08 15:38:24
U00951,P0121,Generic Biography,Books,1,2025-08-31 15:38:24
U00063,P0111,Puma Puzzle,Toys,5,2025-10-27 15:38:24
U00842,P0090,Nike Mixer Grinder,Home & Kitchen,5,2025-09-06 15:38:24
U00273,P0033,Nike Face Cream,Beauty,5,2025-11-25 15:38:24
U00080,P0123,Puma Fiction,Books,5,2026-01-17 15:38:24
U00104,P0097,Samsung Shoes,Fashion,4,2025-12-24 15:38:24
U00198,P0150,Samsung Shoes,Fashion,4,2025-09-03 15:38:24
U00971,P0164,Apple Remote Car,Toys,5,2025-10-27 15:38:24
U00765,P0164,Apple Remote Car,Toys,5,2025-11-11 15:38:24
U00691,P0065,Dell Tablet,Electronics,5,2026-01-15 15:38:24
U00171,P0067,Dell Mixer Grinder,Home & Kitchen,4,2025-10-04 15:38:24
U00346,P0176,LG Snacks,Grocery,5,2025-09-10 15:38:24
U00454,P0044,Dell Board Game,Toys,5,2025-09-23 15:38:24
U00333,P0138,Generic Gaming Console,Electronics,3,2025-09-01 15:38:24
U00441,P0151,LG Headphones,Electronics,3,2025-12-11 15:38:24
U00577,P0113,Sony Building Blocks,Toys,4,2025-09-23 15:38:24
U00949,P0078,Nike Cookbook,Books,3,2025-10-18 15:38:24
U00459,P0006,HP Board Game,Toys,1,2026-02-02 15:38:24
U00292,P0075,HP T-Shirt,Fashion,5,2025-11-25 15:38:24
U00007,P0174,Samsung Football,Sports,4,2025-11-22 15:38:24
U00023,P0007,Sony Gaming Console,Electronics,5,2025-12-02 15:38:24
U00942,P0057,Puma Cooking Oil,Grocery,5,2025-09-17 15:38:24
U00159,P0068,Generic Mixer Grinder,Home & Kitchen,4,2026-01-02 15:38:24
U00142,P0022,Nike Perfume,Beauty,5,2025-12-09 15:38:24
U00239,P0127,Sony Shoes,Fashion,4,2025-09-17 15:38:24
U00410,P0149,Puma Puzzle,Toys,4,2026-01-22 15:38:24
U00741,P0036,Dell Badminton Racket,Sports,4,2025-10-09 15:38:24
U00846,P0182,LG Handbag,Fashion,4,2026-01-17 15:38:24
U00610,P0141,LG Biography,Books,3,2025-09-16 15:38:24
U00391,P0109,Adidas Skincare Kit,Beauty,3,2025-11-17 15:38:24
U00357,P0071,Generic Shoes,Fashion,3,2026-01-11 15:38:24
U00891,P0091,LG Headphones,Electronics,4,2025-09-09 15:38:24
U00951,P0177,Samsung Coffee,Grocery,5,2025-11-05 15:38:24
U00056,P0183,LG Pressure Cooker,Home & Kitchen,3,2025-09-25 15:38:24
U00579,P0017,Adidas Shampoo,Beauty,5,2025-12-16 15:38:24
U00157,P0133,Adidas Cookbook,Books,5,2025-11-02 15:38:24
U00995,P0075,HP T-Shirt,Fashion,5,2025-10-04 15:38:24
U00093,P0050,Dell Face Cream,Beauty,4,2025-11-02 15:38:24
U00152,P0086,Nike Vacuum Cleaner,Home & Kitchen,3,2025-09-17 15:38:24
U00764,P0160,Nike Novel,Books,4,2026-01-20 15:38:24
U00409,P0196,Puma Business Book,Books,5,2026-01-08 15:38:24
U00781,P0150,Samsung Shoes,Fashion,5,2025-10-09 15:38:24
U00405,P0132,Apple Cricket Bat,Sports,3,2025-09-06 15:38:24
U00754,P0124,Samsung Self-Help Book,Books,4,2025-12-04 15:38:24
U00796,P0029,Puma Vacuum Cleaner,Home & Kitchen,5,2025-09-16 15:38:24
U00092,P0150,Samsung Shoes,Fashion,4,2025-11-09 15:38:24
